$ 2013 N,orth San,"tiam, ps",t,no continuous usgs wq data 2013,,,,,,,
#,,,,,,,,,,,
#   JDAY,TDS,BIGSED,PTSED,PO4,NH4,NOx,RDOM,RPOM,ALG-BG,ALG-OTH,DO
9.958,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.55584614
10,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.58480917
10.042,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.58913873
10.083,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.58913873
10.125,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.6310956
10.167,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.62675479
10.208,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.6310956
10.25,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.66471041
10.292,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.67307986
10.333,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.67743197
10.375,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.68161669
10.417,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.71542698
10.458,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.71542698
10.5,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.67743197
10.542,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.67307986
10.583,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.67743197
10.625,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.65229876
10.667,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.6564726
10.708,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.69015351
10.75,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.69433822
10.792,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.69433822
10.833,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.66064644
10.875,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.66064644
10.917,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.69433822
10.958,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.72818172
11,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.7367408
11.042,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.76655263
11.083,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.77075923
11.125,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.7751341
11.167,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.80493116
11.208,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.80931749
11.25,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.84788398
11.292,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.89103737
